position,company,reviews,clean_position,city,state,python,statistics,mathematics,java,sql,excel,modeling,c++,r,visualization,ml,ai,has_phd,has_bachelor,has_master
Data Science - Senior Consultant,Capgemini,5720.0,data scientist,Atlanta,GA,True,True,True,False,True,False,True,False,False,False,True,False,True,True,True
Adolescent Health Evaluation Specialist,ICF,392.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
Windows Programmer / Software Engineer - Intermediate/Senior -ELSYS -7332,The Goal Inc.,0.0,software engineer,Atlanta,GA,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
Sr. Data Engineer,Optomi,16.0,data engineer,Atlanta,GA,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False
"Team Lead – Informatics. Sensus USA Inc. Atlanta, Georgia",Xylem,257.0,other role,Atlanta,GA,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True
Electrical / Substation Design Engineer,Burns & McDonnell,152.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Windows Programmer / Software Engineer (Advanced Degree) - ELSYS,Georgia Tech Research Institute,496.0,software engineer,Atlanta,GA,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
Electrical/Computer Engineer - EOSL,Georgia Tech Research Institute,496.0,other role,Atlanta,GA,True,True,True,False,False,False,False,True,False,False,False,False,False,True,True
Windows Programmer / Software Engineer - Entry/ Intermediate -ELSYS - 7333,The Goal Inc.,0.0,software engineer,Atlanta,GA,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
Principal Research Scientist,Headway Workforce Solutions,209.0,data scientist,Atlanta,GA,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
Senior Business Intelligence Analyst,The Home Depot,38844.0,data analyst,Atlanta,GA,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False
"Senior Software Engineer, Machine Learning","Pandora Media, Inc.",33.0,software engineer,Atlanta,GA,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Scientist,R&D Partners,4.0,data scientist,Atlanta,GA,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Staff CAD Technician,Golder Associates,307.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Engineering Co-op,Golder Associates,307.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
"Associate Manager, Agile Paid Media",The Home Depot,38844.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
Category Manager,JUUL Labs,2.0,other role,Atlanta,GA,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
FPGA Hardware Researcher - CIPHER,Georgia Tech Research Institute,496.0,other role,Atlanta,GA,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True
Senior Marketing Research Analyst,HD Supply,1202.0,data analyst,Atlanta,GA,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True
"Right-of-Way Acquisition Manager | Atlanta, GA","Gresham, Smith and Partners.",27.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Associate Research Scientist,R&D Partners,4.0,data scientist,Atlanta,GA,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
Entry-Level Electrical Engineer,Burns & McDonnell,152.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
Staff Software Engineer,General Electric,292.0,software engineer,Atlanta,GA,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
Principal Engineer,Cotiviti,104.0,other role,Atlanta,GA,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True
DevOps Engineer - ELSYS,Georgia Tech Research Institute,496.0,other role,Atlanta,GA,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
"Senior Analyst, Payments Study - GC Insights, New Ventures",McKinsey & Company,385.0,data analyst,Atlanta,GA,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False
"Senior Analyst - Multi-client Benchmarks, GC Insights - New Ventures",McKinsey & Company,385.0,data analyst,Atlanta,GA,False,True,True,False,True,True,False,False,False,True,False,False,False,True,False
BI - Analytics - Cloud Platform Operations Analyst,The Coca-Cola Company,7236.0,data analyst,Atlanta,GA,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
Sr Quantitative Finance Analyst/C++ Developer,Bank of America,21954.0,data analyst,Atlanta,GA,True,True,True,False,True,False,False,True,False,False,True,False,False,False,False
Business Analytics Consultant Sr,PNC Financial Services Group,4650.0,other role,Atlanta,GA,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False
